F 	Amp.mittel 	Amp.std 	Amp.var 	Phi-mittel 	Phi-std 	Phi-var
918.2	11.978	0.197	0.039	2.422	0.02	0
918.3	11.914	0.263	0.069	2.428	0.027	0.001
918.4	11.832	0.329	0.108	2.41	0.034	0.001
918.5	11.691	0.494	0.244	2.404	0.042	0.002
918.6	11.565	0.612	0.374	2.43	0.038	0.001
918.7	11.399	0.484	0.234	2.44	0.042	0.002
918.8	11.126	0.424	0.179	2.448	0.048	0.002
918.9	11.273	0.427	0.182	2.46	0.029	0.001
919	10.977	0.394	0.155	2.449	0.029	0.001
919.1	10.977	0.394	0.155	2.449	0.029	0.001
919.2	10.926	0.428	0.183	2.463	0.043	0.002
919.3	11.055	0.394	0.155	2.455	0.029	0.001
919.4	11.032	0.444	0.197	2.465	0.036	0.001
919.5	10.82	0.59	0.349	2.468	0.031	0.001
919.6	10.676	0.432	0.186	2.486	0.054	0.003
919.7	10.442	0.466	0.217	2.476	0.044	0.002
919.8	10.481	0.512	0.262	2.478	0.042	0.002
919.9	10.261	0.533	0.284	2.498	0.047	0.002
920	10.361	0.45	0.202	2.517	0.044	0.002
920.1	10.347	0.457	0.208	2.51	0.034	0.001
920.2	10.214	0.491	0.241	2.513	0.051	0.003
920.3	10.245	0.496	0.246	2.51	0.055	0.003
920.4	10.038	0.497	0.247	2.511	0.06	0.004
920.5	9.797	0.619	0.383	2.519	0.057	0.003
920.6	10.122	0.551	0.304	2.542	0.051	0.003
920.7	9.799	0.716	0.512	2.545	0.041	0.002
920.8	10.078	0.598	0.358	2.576	0.039	0.002
920.9	9.794	0.544	0.296	2.537	0.06	0.004
921	9.669	0.573	0.328	2.547	0.06	0.004
921.1	9.3	0.519	0.27	2.521	0.064	0.004
921.2	9.468	0.621	0.385	2.514	0.061	0.004
921.3	9.552	0.726	0.527	2.539	0.074	0.005
921.4	9.269	0.756	0.572	2.544	0.065	0.004
921.5	9.322	0.556	0.309	2.547	0.084	0.007
921.6	9.136	0.639	0.409	2.548	0.075	0.006
921.7	9.091	0.795	0.631	2.587	0.101	0.01
921.8	9.093	0.775	0.6	2.56	0.092	0.009
921.9	9.1	0.851	0.724	2.576	0.099	0.01
922	9.028	0.786	0.618	2.548	0.081	0.007
922.1	8.943	1.086	1.18	2.57	0.094	0.009
922.2	9	0.789	0.622	2.598	0.105	0.011
922.3	9.083	0.687	0.472	2.555	0.081	0.007
922.4	8.904	0.811	0.657	2.589	0.094	0.009
922.5	9.236	0.949	0.9	2.618	0.108	0.012
922.6	9.037	0.94	0.883	2.58	0.107	0.012
922.7	8.603	1.166	1.359	2.629	0.135	0.018
922.8	8.235	0.814	0.662	2.624	0.125	0.016
922.9	8.411	1.005	1.01	2.569	0.149	0.022
923	8.375	1.08	1.167	2.625	0.11	0.012
923.1	8.662	1.224	1.499	2.613	0.123	0.015
923.2	8.585	1.554	2.415	2.624	0.202	0.041
923.3	8.785	1.306	1.706	2.61	0.152	0.023
923.4	7.896	1.485	2.206	2.578	0.182	0.033
923.5	7.649	1.211	1.466	2.569	0.178	0.032
923.6	8.469	1.478	2.185	2.618	0.173	0.03
923.7	8.082	1.5	2.25	2.766	0.218	0.048
923.8	8.488	2.262	5.115	2.677	0.303	0.092
923.9	8.142	1.737	3.016	2.706	0.207	0.043
924	8.184	2.507	6.284	2.695	0.334	0.112
924.1	8.377	2.758	7.609	2.684	0.337	0.114
924.2	8.863	3.113	9.691	2.328	1.338	1.79
924.3	7.801	2.522	6.363	2.346	1.347	1.814
924.4	8.743	3.65	13.323	1.584	2.022	4.09
924.5	9.157	4.989	24.894	-0.142	2.55	6.503
924.6	8.008	5.314	28.24	0.674	2.19	4.796
924.7	10.38	5.722	32.745	0.342	2.096	4.395
924.8	11.066	7.622	58.098	-0.226	2.167	4.695
924.9	13.862	4.382	19.205	0.137	2.177	4.74
925	14.67	6.103	37.251	0.244	2.087	4.355
925.1	15.574	4.899	24.005	-0.803	1.754	3.076
925.2	15.166	5.163	26.66	0.093	2.103	4.421
925.3	16.235	7.378	54.437	0.4	2	3.998
925.4	15.016	4.749	22.555	-0.056	2.137	4.569
925.5	15.78	5.129	26.312	0.11	1.888	3.566
925.6	34.768	13.402	179.604	0.02	2.386	5.691
925.7	11.368	5.269	27.761	0.956	1.953	3.813
925.8	8.114	3.621	13.111	0.792	2.571	6.611
925.9	7.988	3.317	11	2.009	1.791	3.208
926	7.123	3.036	9.219	2.152	1.844	3.402
926.1	7.889	3.221	10.375	1.424	2.328	5.422
926.2	6.834	2.27	5.152	1.1	2.522	6.362
926.3	7.271	2.797	7.822	0.565	2.767	7.654
926.4	8.116	1.387	1.924	2.598	0.257	0.066
926.5	7.337	2.497	6.236	2.24	1.289	1.663
926.6	7.586	2.762	7.627	2.173	1.857	3.449
926.7	7.269	1.948	3.796	2.716	0.376	0.141
926.8	7.2	2.526	6.381	1.782	2.142	4.588
926.9	6.653	2.22	4.928	2.732	0.344	0.119
927	8.21	1.974	3.895	2.778	0.281	0.079
927.1	7.147	1.678	2.816	2.65	0.293	0.086
927.2	6.721	1.724	2.972	2.7	0.256	0.065
927.3	6.621	1.509	2.276	2.685	0.17	0.029
927.4	6.536	1.549	2.399	2.778	0.24	0.058
927.5	6.765	1.683	2.832	2.676	0.27	0.073
927.6	6.496	1.52	2.311	2.762	0.228	0.052
927.7	6.656	1.214	1.474	2.675	0.184	0.034
927.8	6.544	0.99	0.979	2.721	0.216	0.047
927.9	6.655	1.198	1.436	2.744	0.151	0.023
928	6.634	1.335	1.783	2.725	0.176	0.031
928.1	7.056	0.701	0.491	2.812	0.161	0.026
928.2	6.275	0.958	0.918	2.789	0.176	0.031
928.3	6.483	0.902	0.814	2.743	0.16	0.026
928.4	6.225	0.828	0.686	2.795	0.141	0.02
928.5	5.79	0.963	0.928	2.774	0.149	0.022
928.6	6.374	0.807	0.651	2.779	0.142	0.02
928.7	6.33	0.672	0.451	2.749	0.134	0.018
928.8	6.274	0.94	0.883	2.793	0.121	0.015
928.9	5.84	0.757	0.573	2.725	0.124	0.015
929	6.041	0.516	0.266	2.75	0.11	0.012
929.1	6.069	0.661	0.436	2.723	0.134	0.018
929.2	6.149	0.505	0.255	2.763	0.084	0.007
929.3	5.803	0.487	0.237	2.76	0.115	0.013
929.4	5.902	0.478	0.229	2.758	0.095	0.009
929.5	6.001	0.552	0.305	2.757	0.064	0.004
929.6	5.916	0.457	0.209	2.748	0.084	0.007
929.7	5.896	0.496	0.246	2.775	0.056	0.003
929.8	5.667	0.44	0.194	2.743	0.088	0.008
929.9	5.944	0.421	0.178	2.758	0.085	0.007
930	5.86	0.527	0.277	2.793	0.052	0.003
