0F 	Amp.mittel 	Amp.std 	Amp.var 	Phi-mittel 	Phi-std 	Phi-var
2519.7	1	0	0	0	0	0
2519.8	1	0	0	0	0	0
2519.9	1	0	0	0	0	0
2520	1	0	0	0	0	0
2520.1	1	0	0	0	0	0
2520.2	1	0	0	0	0	0
2520.3	1	0	0	0	0	0
2520.4	1	0	0	0	0	0
2520.5	1	0	0	0	0	0
2520.6	1	0	0	0	0	0
2520.7	1	0	0	0	0	0
2520.8	1	0	0	0	0	0
2520.9	1	0	0	0	0	0
2521	1	0	0	0	0	0
2521.1	1	0	0	0	0	0
2521.2	1	0	0	0	0	0
2521.3	1	0	0	0	0	0
2521.4	1	0	0	0	0	0
2521.5	1.071	0.237	0.056	0.039	0.176	0.031
2521.6	1	0	0	0	0	0
2521.7	1	0	0	0	0	0
2521.8	1	0	0	0	0	0
2521.9	1	0	0	0	0	0
2522	1	0	0	0	0	0
2522.1	1	0	0	0	0	0
2522.2	1	0	0	0	0	0
2522.3	1	0	0	0	0	0
2522.4	1	0	0	0	0	0
2522.5	1	0	0	0	0	0
2522.6	1	0	0	0	0	0
2522.7	1	0	0	0	0	0
2522.8	1	0	0	0	0	0
2522.9	1	0	0	0	0	0
2523	1	0	0	0	0	0
2523.1	1	0	0	0	0	0
2523.2	1	0	0	0	0	0
2523.3	1	0	0	0	0	0
2523.4	1	0	0	0	0	0
2523.5	1	0	0	0	0	0
2523.6	1	0	0	0	0	0
2523.7	1.05	0.224	0.05	0	0	0
2523.8	1	0	0	0	0	0
2523.9	1.15	0.366	0.134	0	0	0
2524	1	0	0	0	0	0
2524.1	1	0	0	0	0	0
2524.2	1	0	0	0	0	0
2524.3	1	0	0	0	0	0
2524.4	1.1	0.308	0.095	0	0	0
2524.5	1.05	0.224	0.05	0	0	0
2524.6	1.386	0.814	0.663	0.164	0.303	0.092
2524.7	1.162	0.458	0.21	0.118	0.288	0.083
2524.8	1.553	0.752	0.566	0.102	0.256	0.065
2524.9	1.304	1	1	0.053	0.403	0.162
2525	1.341	0.46	0.211	0.079	0.242	0.058
2525.1	1.223	0.89	0.793	0.393	0.892	0.796
2525.2	0.995	0.768	0.59	0.455	1.257	1.579
2525.3	1.547	1.03	1.061	0.062	0.158	0.025
2525.4	1.435	0.883	0.779	0.259	0.616	0.38
2525.5	1.923	1.147	1.316	0.071	0.633	0.401
2525.6	1.221	0.41	0.168	0.039	0.176	0.031
2525.7	1.333	0.706	0.498	0.157	0.322	0.104
2525.8	1.212	0.747	0.559	0.118	0.288	0.083
2525.9	1.3	0.47	0.221	0	0	0
2526	1.571	0.495	0.245	0.039	0.176	0.031
